"value","lon","lat","geoAddress"
" Trader Joe's Birmingham (737) 205 Summit Blvd, Suite 100 Birmingham, AL 35243 US ",-86.7292915,33.4465106,"205 summit blvd ste 100, birmingham, al 35243, usa"
" Trader Joe's Gilbert (Santan) 1779 E. Williams Field Rd. Gilbert, AZ 85295 US ",-111.7516358,33.3060482,"1779 e williams field rd, gilbert, az 85295, usa"
" Trader Joe's Glendale (85) 7720 West Bell Rd Glendale, AZ 85308 US ",-112.2265726,33.6393288,"7720 w bell rd, glendale, az 85308, usa"
" Trader Joe's Mesa (89) 2050 E Baseline Rd Mesa, AZ 85204 US ",-111.7870802,33.3809684,"2050 e baseline rd, mesa, az 85204, usa"
" Trader Joe's Oro Valley (96) 7912 N Oracle Oro Valley, AZ 85704 US ",-110.9731792,32.3505126,"7912 n oracle rd, oro valley, az 85704, usa"
" Trader Joe's Ahwatukee (177) 4025 E Chandler Blvd Phoenix, AZ 85048 US ",-111.9945187,33.3044587,"4025 e chandler blvd ste 38, phoenix, az 85048, usa"
" Trader Joe's Paradise Valley (282) 4726 East Shea Blvd Phoenix, AZ 85028 US ",-111.9790307,33.5833102,"4726 e shea blvd, phoenix, az 85028, usa"
" Trader Joe's Phoenix - Town & Country (90) 4821 N 20th St Phoenix, AZ 85016 US ",-112.037715,33.5071001,"4821 n 20th st, phoenix, az 85016, usa"
" Trader Joe's Prescott (283) 252 N Lee Blvd Prescott, AZ 86303 US ",-112.405347,34.548656,"252 n lee blvd, prescott, az 86303, usa"
" Trader Joe's N Scottsdale (87) 7555 E Frank Lloyd Wright Scottsdale, AZ 85260 US ",-111.91713,33.6358602,"7555 e frank lloyd wright blvd, scottsdale, az 85260, usa"
" Trader Joe's Scottsdale (94) 6202 N Scottsdale Rd Scottsdale, AZ 85253 US ",-111.9275797,33.5294368,"6202 n scottsdale rd, scottsdale, az 85253, usa"
" Trader Joe's Surprise (92) 14095 W Grand Ave Surprise, AZ 85374 US ",-112.3673991,33.6513787,"14095 w grand ave, surprise, az 85374, usa"
" Trader Joe's Tempe (93) 6460 S McClintock Dr Tempe, AZ 85283 US ",-111.9122475,33.3618135,"6460 s mcclintock dr, tempe, az 85283, usa"
" Trader Joe's Tucson (95) 1101 N Wilmot Rd Tucson, AZ 85712 US ",-110.8589241,32.2371687,"1101 n wilmot rd ste 147, tucson, az 85712, usa"
" Trader Joe's Tucson - Campbell & Limberlost (191) 4209 N Campbell Ave Tucson, AZ 85719 US ",-110.9447958,32.2835033,"4209 n campbell ave, tucson, az 85719, usa"
" Trader Joe's Tucson - Crossroads (88) 4766 E Grant Rd Tucson, AZ 85712 US ",-110.8909436,32.2497812,"4766 e grant rd, tucson, az 85712, usa"
" Trader Joe's Agoura Hills (247) 28941 Canwood St Agoura Hills, CA 91301 US ",-118.7566493,34.1464425,"28941 canwood st, agoura hills, ca 91301, usa"
" Trader Joe's Alameda (109) 2217 South Shore Center Alameda, CA 94501 US ",-122.2514556,37.7577242,"2217 s shore center, alameda, ca 94501, usa"
" Trader Joe's Aliso Viejo (195) 26541 Aliso Creek Rd Aliso Viejo, CA 92656 US ",-117.7247835,33.5774874,"26541 aliso creek rd, aliso viejo, ca 92656, usa"
" Trader Joe's Arroyo Grande (117) 955 Rancho Pkwy Arroyo Grande, CA 93420 US ",-120.5940538,35.125703,"955 rancho pkwy, arroyo grande, ca 93420, usa"
" Trader Joe's Bakersfield (14) 8200 Stockdale Hwy Bakersfield, CA 93311 US ",-119.0937808,35.3556744,"8200 stockdale hwy #c21, bakersfield, ca 93311, usa"
" Trader Joe's Berkeley (186) 1885 University Ave Berkeley, CA 94703 US ",-122.273313,37.871926,"1885 university ave, berkeley, ca 94703, usa"
" Trader Joe's Brea (11) 2500 E Imperial Hwy Brea, CA 92821 US ",-117.8674073,33.9103656,"2500 e imperial hwy, brea, ca 92821, usa"
" Trader Joe's Brentwood (201) 5451 Lone Tree Way Brentwood, CA 94513 US ",-121.7501075,37.9611463,"5451 lone tree way, brentwood, ca 94513, usa"
" Trader Joe's Burbank (124) 214 E Alameda Ave Burbank, CA 91502 US ",-118.2988641,34.1749591,"214 e alameda ave, burbank, ca 91502, usa"
" Trader Joe's Calabasas (254) 23741 Calabasas Rd. Calabasas, CA 91302 US ",-118.6449836,34.1556665,"23741 calabasas rd, calabasas, ca 91302, usa"
" Trader Joe's Camarillo (114) 363 Carmen Dr Camarillo, CA 93010 US ",-119.0532205,34.2198547,"363 carmen dr, camarillo, ca 93010, usa"
" Trader Joe's Campbell (73) 1875 Bascom Ave Campbell, CA 95008 US ",-121.9326181,37.2883618,"1875 s bascom ave, campbell, ca 95008, usa"
" Trader Joe's Capitola (64) 3555 Clares St #D Capitola, CA 95010 US ",-121.9701506,36.9785429,NA
" Trader Joe's Carlsbad (220) 2629 Gateway Rd Carlsbad, CA 92009 US ",-117.2546598,33.1266131,"2629 gateway rd, carlsbad, ca 92009, usa"
" Trader Joe's Castro Valley (84) 22224 Redwood Rd Castro Valley, CA 94546 US ",-122.073003,37.6853639,"22224 redwood rd, castro valley, ca 94546, usa"
" Trader Joe's Cathedral City (118) 67720 E Palm Canyon Dr Cathedral City, CA 92234 US ",-116.4830524,33.7892005,"67720 e palm canyon dr, cathedral city, ca 92234, usa"
" Trader Joe's Cerritos (104) 12861 Towne Center Dr Cerritos, CA 90703 US ",-118.0581293,33.8692417,"12861 towne center dr, cerritos, ca 90703, usa"
" Trader Joe's Chatsworth (184) 10330 Mason Ave Chatsworth, CA 91311 US ",-118.5787951,34.2582554,"10330 mason ave, chatsworth, ca 91311, usa"
" Trader Joe's Chico (199) 801 East Ave Chico, CA 95926 US ",-121.8465145,39.759334,"801 east ave ste 110, chico, ca 95926, usa"
" Trader Joe's Chino Hills (216) 13911 Peyton Drive Chino Hills, CA 91709 US ",-117.7321143,34.0005411,"13911 peyton dr, chino hills, ca 91709, usa"
" Trader Joe's Chula Vista (120) 878 Eastlake Pkwy Chula Vista, CA 91914 US ",-116.9703882,32.6513234,"878 eastlake pkwy ste 810, chula vista, ca 91914, usa"
" Trader Joe's Claremont (214) 475 W Foothill Blvd Claremont, CA 91711 US ",-117.7220344,34.1073921,"475 w foothill blvd, claremont, ca 91711, usa"
" Trader Joe's Clovis (180) 1077 N Willow Ave Clovis, CA 93611 US ",-119.728035,36.8493342,"1077 n willow ave, clovis, ca 93611, usa"
" Trader Joe's Concord (60) 1150 Concord Ave Concord, CA 94520 US ",-122.0564004,37.9792245,"1150 concord ave, concord, ca 94520, usa"
" Trader Joe's Concord (83) 785 Oak Grove Rd Concord, CA 94518 US ",-122.0248286,37.9369329,"785 oak grove rd, concord, ca 94518, usa"
" Trader Joe's Corona (213) 2790 Cabot Dr Corona, CA 92883 US ",-117.5065624,33.8114911,"2790 cabot dr, corona, ca 92883, usa"
" Trader Joe's Costa Mesa (35) 640 W 17th St Costa Mesa, CA 92627 US ",-117.9245798,33.6367934,"640 w 17th st, costa mesa, ca 92627, usa"
" Trader Joe's Culver City (251) 6150 Slauson Ave Culver City, CA 90230 US ",-118.3928504,33.98801,"6150 slauson ave, culver city, ca 90230, usa"
" Trader Joe's Culver City (36) 9290 Culver Blvd Culver City, CA 90232 US ",-118.3929931,34.0252255,"9290 culver blvd, culver city, ca 90232, usa"
" Trader Joe's Daly City (74) 417 Westlake Center Daly City, CA 94015 US ",-122.482237,37.7000041,"417 westlake center, daly city, ca 94015, usa"
" Trader Joe's Danville (65) 85 Railroad Ave Danville, CA 94526 US ",-122.0032311,37.8231031,"85 railroad ave, danville, ca 94526, usa"
" Trader Joe's Davis (182) 885 Russell Blvd Davis, CA 95616 US ",-121.7613571,38.5465789,"885 russell blvd, davis, ca 95616, usa"
" Trader Joe's Eagle Rock (55) 1566 Colorado Blvd Eagle Rock, CA 90041 US ",-118.200439,34.1392586,"1566 colorado blvd, eagle rock, ca 90041, usa"
" Trader Joe's El Cerrito (108) 225 El Cerrito Plaza El Cerrito, CA 94530 US ",-122.299816,37.8989101,"225 el cerrito plaza, el cerrito, ca 94530, usa"
" Trader Joe's Elk Grove (190) 9670 Bruceville Road Elk Grove, CA 95757 US ",-121.4205286,38.4066009,"9670 bruceville rd, elk grove, ca 95757, usa"
" Trader Joe's Emeryville (72) 5700 Christie Ave Emeryville, CA 94608 US ",-122.2942301,37.8369813,"5700 christie ave, emeryville, ca 94608, usa"
" Trader Joe's Encinitas (25) 115 N El Camino Real Encinitas, CA 92024 US ",-117.2558081,33.0471008,"115 n el camino real, encinitas, ca 92024, usa"
" Trader Joe's Encino (56) 17640 Burbank Blvd Encino, CA 91316 US ",-118.5177696,34.1717937,"17640 burbank blvd, encino, ca 91316, usa"
" Trader Joe's Escondido (105) 1885 S Centre City Pkwy Escondido, CA 92025 US ",-117.0748288,33.099931,"1885 s centre city pkwy, escondido, ca 92025, usa"
" Trader Joe's Fairfield (101) 1350 Gateway Blvd Fairfield, CA 94533 US ",-122.0522272,38.2641547,"1350 gateway blvd ste a1-a7, fairfield, ca 94533, usa"
" Trader Joe's Fair Oaks (71) 5309 Sunrise Blvd Fair Oaks, CA 95628 US ",-121.2738677,38.6620665,"5309 sunrise blvd, fair oaks, ca 95628, usa"
" Trader Joe's Folsom (172) 850 East Bidwell Folsom, CA 95630 US ",-121.1559149,38.6724426,"850 e bidwell st, folsom, ca 95630, usa"
" Trader Joe's Fremont (77) 39324 Argonaut Way Fremont, CA 94538 US ",-121.9861519,37.5434679,"39324 argonaut way, fremont, ca 94538, usa"
" Trader Joe's Fresno (8) 8478 N. Friant Road Fresno, CA 93720 US ",-119.7825489,36.857992,"8478 n friant rd, fresno, ca 93720, usa"
" Trader Joe's Glendale (53) 103 E Glenoaks Blvd Glendale, CA 91207 US ",-118.2545353,34.1598391,"103 e glenoaks blvd, glendale, ca 91207, usa"
" Trader Joe's Goleta (110) 5767 Calle Real Goleta, CA 93117 US ",-119.825238,34.4406928,"5767 calle real, goleta, ca 93117, usa"
" Trader Joe's Granada Hills (44) 11114 Balboa Blvd Granada Hills, CA 91344 US ",-118.5016054,34.272659,"11114 balboa blvd, granada hills, ca 91344, usa"
" Trader Joe's Larkspur (235) 2052 Redwood Hwy Greenbrae, CA 94904 US ",-122.5149604,37.9378615,"2052 redwood hwy, greenbrae, ca 94904, usa"
" Trader Joe's Hermosa Beach (248) 1100 Pacific Coast Hwy Hermosa Beach, CA 90254 US ",-118.3921886,33.8635021,"1100 pacific coast hwy, hermosa beach, ca 90254, usa"
" Trader Joe's Huntington Beach (47) 18681 Main St Huntington Beach, CA 92648 US ",-117.9927157,33.6925294,"18681 main st, huntington beach, ca 92648, usa"
" Trader Joe's Huntington Beach - Brookhurst (241) 21431 Brookhurst St Huntington Beach, CA 92646 US ",-117.9548912,33.6513584,"21431 brookhurst st, huntington beach, ca 92646, usa"
" Trader Joe's Huntington Harbour (244) 16821 Algonquin St Huntington Beach, CA 92649 US ",-118.05145,33.7175194,"16821 algonquin st, huntington beach, ca 92649, usa"
" Trader Joe's Irvine - University Ctr (111) 4225 Campus Dr Irvine, CA 92612 US ",-117.8375077,33.6504666,"4225 campus dr, irvine, ca 92612, usa"
" Trader Joe's Irvine - Walnut Village Ctr (37) 14443 Culver Dr Irvine, CA 92604 US ",-117.7884205,33.7061608,"14443 culver dr, irvine, ca 92604, usa"
" Trader Joe's Irvine - Woodbury Town Center (210) 6222 Irvine Blvd Irvine, CA 92620 US ",-117.7431271,33.6984908,"6222 irvine blvd, irvine, ca 92620, usa"
" Trader Joe's La Canada (42) 475 Foothill Blvd La Canada, CA 91011 US ",-118.1884204,34.200037,"475 foothill blvd, la cañada flintridge, ca 91011, usa"
" Trader Joe's Lafayette (115) 3649 Mt Diablo Blvd Lafayette, CA 94549 US ",-122.1268178,37.8903423,"3649 mt diablo blvd, lafayette, ca 94549, usa"
" Trader Joe's Laguna Hills (39) 24321 Avenida De La Carlota Laguna Hills, CA 92653 US ",-117.7022396,33.6084437,"24321 avenida de la carlota, laguna hills, ca 92653, usa"
" Trader Joe's Laguna Niguel - Ocean Ranch (103) 32351 Street of the Golden Lantern Laguna Niguel, CA 92677 US ",-117.6966468,33.49304,"32351 golden lantern, laguna niguel, ca 92677, usa"
" Trader Joe's La Habra 2101 W. Imperial Hwy, Suite A La Habra,",-117.8674073,33.9103656,"2500 e imperial hwy, brea, ca 92821, usa"
" Trader Joe's La Jolla (20) 8657 Villa la Jolla Dr La Jolla, CA 92037 US ",-117.2317254,32.8657453,"8657 villa la jolla dr, la jolla, ca 92037, usa"
" Trader Joe's La Mesa (24) 5495 Grossmont Center Dr La Mesa, CA 91942 US ",-117.0056147,32.7792966,"5495 grossmont center dr, la mesa, ca 91942, usa"
" Trader Joe's La Quinta (189) 46400 Washington St La Quinta, CA 92253 US ",-116.2942688,33.7119922,"46400 washington st, la quinta, ca 92253, usa"
" Trader Joe's Livermore (208) 1122 A East Stanley Blvd Livermore, CA 94550 US ",-121.7816937,37.6803533,"1122 a e stanley blvd, livermore, ca 94550, usa"
" Trader Joe's Long Beach - Bellflower Blvd (194) 2222 North Bellflower Blvd Long Beach, CA 90815 US ",-118.1228974,33.7967761,"2222 n bellflower blvd, long beach, ca 90815, usa"
" Trader Joe's Long Beach - Bixby Knolls (116) 4210 Long Beach Blvd Long Beach, CA 90807 US ",-118.1884404,33.8355392,"4210 long beach boulevard, long beach, ca 90807, usa"
" Trader Joe's Long Beach - Pch (43) 6451 E Pacific Coast Hwy Long Beach, CA 90803 US ",-118.1089303,33.7576624,"6451 pacific coast hwy, long beach, ca 90803, usa"
" Trader Joe's Los Altos (127) 2310 Homestead Rd Los Altos, CA 94024 US ",-122.067183,37.3368421,"2310 homestead rd, los altos, ca 94024, usa"
" Trader Joe's Hollywood (206) 1600 N Vine St Los Angeles, CA 90028 US ",-118.3260586,34.1003784,"1600 n vine st, los angeles, ca 90028, usa"
" Trader Joe's Los Angeles (31) 263 S La Brea Ave Los Angeles, CA 90036 US ",-118.3444162,34.0691505,"263 south la brea ave, los angeles, ca 90036, usa"
" Trader Joe's Los Angeles - 3Rd & Fairfax (240) 175 South Fairfax Ave Los Angeles, CA 90036 US ",-118.3444162,34.0691505,"263 south la brea ave, los angeles, ca 90036, usa"
" Trader Joe's Los Angeles - Burton Way (237) 8500 Burton Way Los Angeles, CA 90048 US ",-118.3770755,34.0711646,"8500 burton way, los angeles, ca 90048, usa"
" Trader Joe's Olympic Blvd (215) 11755 Olympic Blvd Los Angeles, CA 90064 US ",-118.4493107,34.0337159,"11755 w olympic blvd, los angeles, ca 90064, usa"
" Trader Joe's Silver Lake (17) 2738 Hyperion Ave Los Angeles, CA 90027 US ",-118.2715739,34.1076393,"2738 hyperion ave, los angeles, ca 90027, usa"
" Trader Joe's Sunset Blvd (192) 8000 W Sunset Blvd Los Angeles, CA 90046 US ",-118.365233,34.0976043,"8000 sunset blvd, los angeles, ca 90046, usa"
" Trader Joe's Usc Village (250) 3131 S Hoover Street Los Angeles, CA 90089 US ",-118.2846645,34.026076,"3131 s hoover st ste 1920, los angeles, ca 90089, usa"
" Trader Joe's West Los Angeles (7) 10850 National Blvd Los Angeles, CA 90064 US ",-118.4214825,34.030059,"10850 national blvd, los angeles, ca 90064, usa"
" Trader Joe's West Los Angeles - Sepulveda (119) 3456 S Sepulveda Blvd Los Angeles, CA 90034 US ",-118.4221063,34.0204805,"3456 s sepulveda blvd, los angeles, ca 90034, usa"
" Trader Joe's Westwood (234) 1000 Glendon Ave Los Angeles, CA 90024 US ",-118.4437742,34.0622696,"1000 glendon ave, los angeles, ca 90024, usa"
" Trader Joe's Los Gatos (181) 15466 Los Gatos Blvd Los Gatos, CA 95032 US ",-121.9579316,37.2441186,"15466 los gatos blvd, los gatos, ca 95032, usa"
" Trader Joe's Manhattan Beach Blvd (34) 1821 Manhattan Beach Blvd Manhattan Bch., CA 90266 US ",-118.379888,33.8876384,"1821 manhattan beach blvd, manhattan beach, ca 90266, usa"
" Trader Joe's Manhattan Beach - Rosecrans Blvd (106) 1800 Rosecrans Blvd Manhattan Beach, CA 90266 US ",-118.3811773,33.9005691,"1800 rosecrans ave, manhattan beach, ca 90266, usa"
" Trader Joe's Marina Del Rey (205) 4675 Admiralty Way Marina Del Rey, CA 90292 US ",-118.4413082,33.9795507,"4675 admiralty way, marina del rey, ca 90292, usa"
" Trader Joe's Menlo Park (69) 720 Menlo Ave Menlo Park, CA 94025 US ",-122.1835183,37.4512158,"720 menlo ave, menlo park, ca 94025, usa"
" Trader Joe's Millbrae (170) 765 Broadway Millbrae, CA 94030 US ",-122.3960646,37.6036852,"765 broadway, millbrae, ca 94030, usa"
" Trader Joe's Mission Viejo (126) 25410 Marguerite Pkwy Mission Viejo, CA 92692 US ",-117.658427,33.5930519,"25410 marguerite pkwy, mission viejo, ca 92692, usa"
" Trader Joe's Modesto (9) 3250 Dale Road Modesto, CA 95356 US ",-121.0493912,37.6879675,"3250 dale rd, modesto, ca 95356, usa"
" Trader Joe's Monrovia (112) 604 W Huntington Dr Monrovia, CA 91016 US ",-118.0120891,34.1378673,"604 huntington dr, monrovia, ca 91016, usa"
" Trader Joe's Monterey (204) 570 Munras Ave Monterey, CA 93940 US ",-121.8943519,36.5965585,"570 munras ave ste 20, monterey, ca 93940, usa"
" Trader Joe's Montrose (52) 2462 Honolulu Ave Montrose, CA 91020 US ",-118.2331547,34.2069873,"2462 honolulu ave, montrose, ca 91020, usa"
" Trader Joe's Morgan Hill (202) 17035 Laurel Rd Morgan Hill, CA 95037 US ",-121.6382032,37.1311381,"17035 laurel rd, morgan hill, ca 95037, usa"
" Trader Joe's Mountain View (81) 590 Showers Dr Mountain View, CA 94040 US ",-122.1107579,37.4020838,"590 showers dr, mountain view, ca 94040, usa"
" Trader Joe's Napa (128) 3654 Bel Aire Plaza Napa, CA 94558 US ",-122.3058353,38.3227963,"3654 bel aire plaza, napa, ca 94558, usa"
" Trader Joe's Newport Beach (125) 8086 E Pacific Coast Hwy Newport Beach, CA 92657 US ",-117.8324176,33.5681793,"8086 pacific coast hwy, newport beach, ca 92657, usa"
" Trader Joe's Novato (198) 7514 Redwood Blvd Novato, CA 94945 US ",-122.5681231,38.1118504,"7514 redwood blvd, novato, ca 94945, usa"
" Trader Joe's Oakland - Lakeshore (203) 3250 Lakeshore Ave Oakland, CA 94610 US ",-122.2442512,37.8097414,"3250 lakeshore ave, oakland, ca 94610, usa"
" Trader Joe's Oakland - Rockridge (231) 5727 College Ave Oakland, CA 94618 US ",-122.2528065,37.8455601,"5727 college ave, oakland, ca 94618, usa"
" Trader Joe's Oceanside (22) 2570 Vista Way Oceanside, CA 92054 US ",-117.3319447,33.1841133,"2570 vista way, oceanside, ca 92054, usa"
" Trader Joe's Mall Of Orange (46) 2114 N Tustin St Orange, CA 92865 US ",-117.836578,33.8232673,"mall of orange, 2114 n tustin st, orange, ca 92865, united states"
" Trader Joe's Pacific Grove (79) 1170 Forest Ave Pacific Grove, CA 93950 US ",-121.9219308,36.6055799,"1170 forest ave, pacific grove, ca 93950, usa"
" Trader Joe's Palmdale (185) 39507 10th St W Palmdale, CA 93551 US ",-118.149297,34.6003122,"39507 10th st w, palmdale, ca 93551, usa"
" Trader Joe's Palm Desert (3) 44250 Town Center Way Palm Desert, CA 92260 US ",-116.3966112,33.7274599,"44250 town center way, palm desert, ca 92260, usa"
" Trader Joe's Palo Alto (207) 855 El Camino Real Palo Alto, CA 94301 US ",-122.1578179,37.4383313,"855 el camino real, palo alto, ca 94301, usa"
" Trader Joe's Hastings Ranch (171) 467 N Rosemead Blvd Pasadena, CA 91107 US ",-118.078195,34.1537035,"467 n rosemead blvd, pasadena, ca 91107, usa"
" Trader Joe's Pasadena (51) 610 S Arroyo Pkwy Pasadena, CA 91105 US ",-118.1468743,34.1351409,"610 s arroyo pkwy, pasadena, ca 91105, usa"
" Trader Joe's Pasadena (East) (32) 3035 E Huntington Dr Pasadena, CA 91107 US ",-118.0894848,34.1278856,"3035 e huntington dr, pasadena, ca 91107, usa"
